Nombre,Distancia,Localidad,Tipo,Fecha,Precio,Web,Descripción,Circuito
Font Freda,11,Atzeneta,Trail,10/08/2015,4,http://www.mychip.com,pista forestal,Vall d'Albaida
Benicadell,15,Salem,Trail,10/10/2015,4,http://www.mychip.com,Ombria Benicadell,Vall d'Albaida
Aielo,8,Aielo,Asfalto,9/10/2015,4,http://www.mychip.com,descr,Vall d'Albaida
Centcames,8,La Pobla del Duc,Asfalto,9/10/2015,4,http://www.mychip.com,descr,Vall d'Albaida
Olleria,10,Olleria,Asfalto,11/10/2015,4,http://www.mychip.com,descr,Vall d'Albaida
Beniarres,21,Beniarres,Trail,9/10/2015,4,http://www.mychip.com,descr,Xitxarra Trail
Bocairent,21,Bocairent,Trail,9/10/2015,4,http://www.mychip.com,descr,Xitxarra Trail
Agres,25,Agres,Trail,9/10/2015,4,http://www.mychip.com,descr,Xitxarra Trail
Bellus,21,Bellus,Trail,9/10/2015,4,http://www.mychip.com,descr,Xitxarra Trail
Putja Al Castell,10,Xativa,Asfalto,9/10/2015,4,http://www.mychip.com,descr,Circuit Diputació Valencia
10k Nocturna,10,Gandia,Asfalto,9/10/2015,4,http://www.mychip.com,descr,Circuit Diputació Valencia
